Address,Type,Year built,Total rental units,Primary market units,Residential standards violations issued (2020-2022),Building permits issued (2020-2022),Building permit work types,Building permit issue years,Assessment history,Sales history,Census tract,Forward sortation area,Rental Market Survey zone,Municipality
"6162 Chebucto Rd, Halifax",Primary market,1985,6,6,,,,,"2023: $768,000; 2022: $695,200; 2021: $666,100; 2020: $608,900; 2019: $613,600",,2050011.00,B3L,Peninsula North,Halifax
"6165 Watt St, Halifax",Primary market,,4,4,,,,,"2023: $1,200,100; 2022: $994,300; 2021: $942,900; 2020: $614,100; 2019: $592,100","2021: $1,250,000 (1 parcel in sale)",2050006.00,B3H,Peninsula South,Halifax
"6168 Willow St, Halifax",Primary market,1950,15,15,,,,,"2023: $1,780,100; 2022: $1,609,600; 2021: $1,536,800; 2020: $1,471,900; 2019: $1,444,700",,2050011.00,B3K (2006-2015); B3L (2016-2022),Peninsula North,Halifax
"6174 South St, Halifax",Primary market,,4,4,,,,,"2023: $1,519,800; 2022: $1,459,500; 2021: $1,371,900; 2020: $1,211,400; 2019: $1,199,900",,2050005.00,B3H,Peninsula South,Halifax
"6175 Lady Hammond Rd, Halifax",Primary market,,4,4,,,,,"2023: $694,100; 2022: $591,800; 2021: $552,700; 2020: $528,600; 2019: $508,200",,2050022.00,B3K,Peninsula North,Halifax
"6178 Shirley St, Halifax",Primary market,1957,6,6,,,,,"2023: $1,573,100; 2022: $1,381,900; 2021: $1,378,800; 2020: $1,236,400; 2019: $1,030,200",,2050012.00,B3H,Peninsula South,Halifax
"618 Bedford Hwy, Halifax",Primary market,2002,55,55,1,,,,"2023: $8,087,200; 2022: $7,611,800; 2021: $7,779,600; 2020: $7,440,300; 2019: $7,056,400",,2050027.00,B3M,Mainland North,Halifax
"6182 Allan St, Halifax",Primary market,1948,4,4,,,,,"2023: $659,400; 2022: $600,600; 2021: $568,600; 2020: $543,500; 2019: $522,400",,2050011.00,B3L,Peninsula North,Halifax
"6184 Jubilee Rd, Halifax",Primary market,1967,4,4,,,,,"2023: $845,200; 2022: $779,600; 2021: $717,100; 2020: $694,200; 2019: $687,700",,2050006.00,B3H,Peninsula South,Halifax
"6185 Shirley St, Halifax",Primary market,1918,5,5,,,,,"2023: $733,600; 2022: $678,600; 2021: $626,000; 2020: $565,200; 2019: $559,900",,2050012.00,B3H,Peninsula South,Halifax
"6190 Jubilee Rd, Halifax",Primary market,,23,23,,,,,"2023: $3,671,300; 2022: $3,216,900; 2021: $3,198,400; 2020: $2,879,200; 2019: $2,308,300",,2050006.00,B3H,Peninsula South,Halifax
"6191 Allan St, Halifax",Primary market,,8,8,,,,,"2023: $2,022,000; 2022: $1,855,400; 2021: $1,901,300; 2020: $1,788,900; 2019: $1,614,500","2022: $2,400,000 (1 parcel in sale)",2050011.00,B3L (2006-2015); B3K (2016-2022),Peninsula North,Halifax
"62 Jackson Rd, Dartmouth",Primary market,1966,10,10,,,,,"2023: $697,200; 2022: $664,400; 2021: $631,100; 2020: $503,700; 2019: $513,800",,2050114.00,B3A,Dartmouth North,Halifax
"6208 Allan St, Halifax",Primary market,1947,6,6,,,,,"2023: $808,100; 2022: $758,800; 2021: $724,500; 2020: $654,700; 2019: $661,000","2019: $2,300,000 (3 parcels in sale)",2050011.00,B3L,Peninsula North,Halifax
"6210 Allan St, Halifax",Primary market,1947,5,5,,,,,"2023: $710,100; 2022: $661,100; 2021: $645,900; 2020: $569,200; 2019: $547,000","2019: $2,300,000 (3 parcels in sale)",2050011.00,B3L,Peninsula North,Halifax
"6211 Pepperell St, Halifax",Primary market,1950,4,4,,,,,"2023: $778,900; 2022: $701,000; 2021: $660,100; 2020: $644,000; 2019: $447,900",,2050012.00,B3H,Peninsula South,Halifax
"6212 Allan St, Halifax",Primary market,1947,6,6,,,,,"2023: $1,172,600; 2022: $1,069,600; 2021: $1,022,200; 2020: $873,600; 2019: $860,000","2019: $2,300,000 (3 parcels in sale)",2050011.00,B3L,Peninsula North,Halifax
"6212 Almon St, Halifax",Primary market,,6,6,,,,,"2023: $808,100; 2022: $758,800; 2021: $724,500; 2020: $654,700; 2019: $661,000",,2050019.00,B3K,Peninsula North,Halifax
"6227 Coburg Rd, Halifax",Primary market,1950,6,6,,,,,"2023: $1,433,800; 2022: $1,240,700; 2021: $1,236,900; 2020: $1,093,700; 2019: $1,055,700",,2050006.00,B3H,Peninsula South,Halifax
"6228 Duncan St, Halifax",Primary market,1926,4,4,,,,,"2023: $1,020,400; 2022: $719,900; 2021: $682,600; 2020: $653,300; 2019: $627,800","2021: $1,070,000 (1 parcel in sale)",2050011.00,B3L,Peninsula North,Halifax
"6230 Windcrest Terrace, Halifax",Primary market,1960,12,12,,,,,"2023: $1,382,000; 2022: $1,226,000; 2021: $1,094,100; 2020: $1,050,700; 2019: $993,700",,2050019.00,B3L,Peninsula North,Halifax
"6236 Chebucto Rd, Halifax",Primary market,,4,4,,,,,"2023: $513,500; 2022: $483,600; 2021: $455,300; 2020: $455,300; 2019: $437,600",,2050011.00,B3L,Peninsula North,Halifax
"6238 Allan St, Halifax",Primary market,1930,5,5,,,,,"2023: $1,407,000; 2022: $1,327,000; 2021: $1,268,100; 2020: $1,324,200; 2019: $1,315,700",,2050011.00,B3L,Peninsula North,Halifax
"6240 Pepperell St, Halifax",Primary market,2021,63,63,,,,,"2023: $13,985,500; 2022: $13,891,100; 2021: $11,349,400; 2020: $4,626,500; 2019: $3,112,400",2020: $0 (1 parcel in sale),2050012.00,B3H,Peninsula South,Halifax
"6259 Coburg Rd, Halifax",Primary market,1970,21,21,,,,,"2023: $2,623,900; 2022: $2,299,800; 2021: $2,106,100; 2020: $1,888,600; 2019: $1,739,900",,2050006.00,B3H,Peninsula South,Halifax
"6262 Chebucto Rd, Halifax",Primary market,,4,4,,,,,"2023: $513,500; 2022: $483,600; 2021: $455,300; 2020: $455,300; 2019: $437,600",,2050011.00,B3L,Peninsula North,Halifax
"6265 London St, Halifax",Primary market,1964,34,34,,,,,"2023: $4,675,900; 2022: $4,092,800; 2021: $4,210,500; 2020: $3,938,900; 2019: $3,757,500",,2050019.00,B3L,Peninsula North,Halifax
"6273 North St, Halifax",Boarding house,,,,,,,,,,2050019.00,B3K,Peninsula North,Halifax
"6277 Young St, Halifax",Primary market,1976,43,43,,,,,"2023: $5,586,000; 2022: $5,014,700; 2021: $4,699,500; 2020: $4,468,600; 2019: $4,399,200",,2050019.00,B3L,Peninsula North,Halifax
"6281 Edinburgh St, Halifax",Primary market,1935,9,9,,,,,"2023: $1,036,900; 2022: $932,400; 2021: $886,100; 2020: $801,500; 2019: $813,700",,2050019.00,B3L,Peninsula North,Halifax
"6281 Lawrence St, Halifax",Primary market,1964,4,4,,,,,"2023: $815,000; 2022: $780,000; 2021: $682,600; 2020: $653,300; 2019: $627,800",,2050011.00,B3L,Peninsula North,Halifax
"6282 Young St, Halifax",Primary market,1916,6,6,,,,,"2023: $592,700; 2022: $598,100; 2021: $520,200; 2020: $460,600; 2019: $440,900",,2050019.00,B3L,Peninsula North,Halifax
"6287 Liverpool St, Halifax",Primary market,1971,23,23,,,,,"2023: $2,753,600; 2022: $2,469,300; 2021: $2,364,800; 2020: $2,253,900; 2019: $2,148,400",,2050019.00,B3L,Peninsula North,Halifax
"6288 Yukon St, Halifax",Primary market,1920,11,11,,,,,"2023: $1,584,500; 2022: $1,387,100; 2021: $1,342,800; 2020: $1,281,200; 2019: $1,225,500",,2050011.00,B3L,Peninsula North,Halifax
"6294 London St, Halifax",Primary market,1969,4,4,,,,,"2023: $815,000; 2022: $780,000; 2021: $682,600; 2020: $653,300; 2019: $627,800","2021: $505,000 (1 parcel in sale); 2020: $0 (1 parcel in sale); 2020: $0 (2 parcels in sale)",2050019.00,B3L,Peninsula North,Halifax
"6296 Allan St, Halifax",Primary market,1917,4,4,,,,,"2023: $815,000; 2022: $780,000; 2021: $682,600; 2020: $653,300; 2019: $627,800",,2050011.00,B3L,Peninsula North,Halifax
"63 Caledonia Rd, Dartmouth",Primary market,1972,12,12,,,,,"2023: $633,000; 2022: $563,800; 2021: $530,400; 2020: $558,800; 2019: $582,300",,2050106.01,B2X,Dartmouth East,Halifax
"63 Chadwick Pl, Halifax",Primary market,1978,51,51,,,,,"2023: $5,774,300; 2022: $5,090,000; 2021: $4,613,400; 2020: $4,572,000; 2019: $4,399,500",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"63 Main Ave, Halifax",Primary market,1970,30,30,,,,,"2023: $2,361,000; 2022: $2,194,600; 2021: $2,145,000; 2020: $2,198,700; 2019: $1,945,400",,2050025.02,B3M,Mainland North,Halifax
"630 Larry Uteck Blvd, Halifax",Primary market,2011,77,77,,,,,"2023: $18,335,900; 2022: $18,225,200; 2021: $17,024,200; 2020: $17,275,000; 2019: $16,350,700",,2050132.06,B4B,Remainder of CMA,Halifax
"6300 Lawrence St, Halifax",Primary market,1973,4,4,,,,,"2023: $815,000; 2022: $780,000; 2021: $682,600; 2020: $653,300; 2019: $627,800",,2050011.00,B3L,Peninsula North,Halifax
"6305 Quinpool Rd, Halifax",Primary market,1950,4,4,,,,,"2023: $1,105,500; 2022: $940,400; 2021: $981,200; 2020: $964,800; 2019: $966,400",,2050011.00,B3L,Peninsula North,Halifax
"6305 Yukon St, Halifax",Primary market,1920,4,4,,,,,"2023: $815,000; 2022: $719,900; 2021: $682,600; 2020: $653,300; 2019: $627,800","2021: $815,000 (1 parcel in sale)",2050011.00,B3L,Peninsula North,Halifax
"6306 Cork St, Halifax",Primary market,1965,58,58,,,,,"2023: $6,853,200; 2022: $5,970,000; 2021: $5,647,700; 2020: $5,219,400; 2019: $5,280,700",,2050019.00,B3L,Peninsula North,Halifax
"6309 Quinpool Rd, Halifax",Primary market,1977,3,3,,,,,"2023: $1,138,000; 2022: $961,300; 2021: $1,025,900; 2020: $1,016,900; 2019: $952,200",,2050011.00,B3L,Peninsula North,Halifax
"634 Parkland Dr, Halifax",Primary market,2001,70,70,,,,,"2023: $12,741,800; 2022: $11,240,800; 2021: $10,666,900; 2020: $9,962,500; 2019: $10,647,100",,2050026.01 (2006-2010); 2050026.03 (2011-2022),B3S,Mainland North,Halifax
"6345 Coburg Rd, Halifax",Primary market,2020,28,28,,,,,"2023: $8,490,000; 2022: $7,802,600; 2021: $7,607,700; 2020: $3,685,000; 2019: $760,500",,2050006.00,B3H,Peninsula South,Halifax
"6345 Edinburgh St, Halifax",Primary market,1962,4,4,,,,,"2023: $659,400; 2022: $600,600; 2021: $568,600; 2020: $543,500; 2019: $522,400",,2050019.00,B3L,Peninsula North,Halifax
"6347 Edinburgh St, Halifax",Primary market,1962,4,4,,,,,"2023: $659,400; 2022: $600,600; 2021: $568,600; 2020: $543,500; 2019: $522,400",,2050019.00,B3L,Peninsula North,Halifax
"635 Larry Uteck Blvd, Halifax",Primary market,2013,88,88,,,,,"2023: $20,836,500; 2022: $20,701,300; 2021: $20,903,000; 2020: $19,506,600; 2019: $18,814,900",,2050123.04 (2013-2020); 2050123.09 (2021-2022),B4A,Bedford,Halifax
"635 St Margarets Bay Rd, Halifax",Primary market,2018,6,6,,,,,"2023: $1,372,500; 2022: $738,400; 2021: $720,400; 2020: $635,600; 2019: $623,900",,2050017.00,B3N,Mainland North,Halifax
"6352 Edinburgh St, Halifax",Primary market,1962,6,6,,,,,"2023: $950,900; 2022: $768,000; 2021: $711,200; 2020: $659,900; 2019: $627,400","2019: $1,626,000 (2 parcels in sale)",2050019.00,B3L,Peninsula North,Halifax
"6354 Edinburgh St, Halifax",Primary market,1962,6,6,,,,,"2023: $950,900; 2022: $768,000; 2021: $711,200; 2020: $659,900; 2019: $627,400","2019: $1,626,000 (2 parcels in sale)",2050019.00,B3L,Peninsula North,Halifax
"6370 Young St, Halifax",Primary market,1989,4,4,,,,,"2023: $815,000; 2022: $780,000; 2021: $682,600; 2020: $653,300; 2019: $627,800",,2050019.00,B3L,Peninsula North,Halifax
"6384 Almon St, Halifax",Primary market,1937,4,4,,,,,"2023: $815,000; 2022: $780,000; 2021: $682,600; 2020: $653,300; 2019: $627,800","2022: $850,000 (1 parcel in sale)",2050019.00,B3L,Peninsula North,Halifax
"64 Bedros Lane, Halifax",Primary market,2013,32,32,,,,,"2023: $7,471,800; 2022: $7,716,000; 2021: $7,644,000; 2020: $7,021,900; 2019: $6,445,600",,2050027.00,B3M,Mainland North,Halifax
"64 Cobequid Rd, Lower Sackville",Primary market,2000,18,18,1,,,,"2023: $2,162,700; 2022: $1,502,000; 2021: $1,493,400; 2020: $1,550,800; 2019: $1,492,700","2022: $3,560,000 (1 parcel in sale)",2050131.04,B4C,Sackville,Halifax
"64 Fairfax Dr, Halifax",Primary market,2001,90,90,,,,,"2023: $16,471,400; 2022: $14,698,500; 2021: $14,205,900; 2020: $13,520,400; 2019: $13,408,800",,2050026.01 (2006-2010); 2050026.05 (2011-2022),B3S,Mainland North,Halifax
"64 Victoria Rd, Dartmouth",Primary market,1950,8,8,,,,,"2023: $969,900; 2022: $977,700; 2021: $919,000; 2020: $914,800; 2019: $875,800",,2050109.00,B3A,Dartmouth North,Halifax
"6411 South St, Halifax",Primary market,1958,17,17,,,,,"2023: $3,001,300; 2022: $2,640,900; 2021: $2,130,100; 2020: $1,608,700; 2019: $1,495,300","2019: $3,073,000 (1 parcel in sale)",2050006.00,B3H,Peninsula South,Halifax
"6434 London St, Halifax",Primary market,1938,4,4,,,,,"2023: $815,000; 2022: $780,000; 2021: $682,600; 2020: $653,300; 2019: $627,800",,2050019.00,B3L,Peninsula North,Halifax
"6449 Seaforth St, Halifax",Primary market,1962,35,35,,,,,"2023: $3,892,100; 2022: $4,046,100; 2021: $3,503,600; 2020: $2,981,200; 2019: $2,660,500",,2050019.00,B3L,Peninsula North,Halifax
"6458 Liverpool St, Halifax",Primary market,1985,6,6,,,,,"2023: $1,203,600; 2022: $1,070,600; 2021: $1,058,200; 2020: $929,800; 2019: $941,400",,2050019.00,B3L,Peninsula North,Halifax
"6467 Chebucto Rd, Halifax",Primary market,2006,5,5,,,,,"2023: $1,227,900; 2022: $1,061,300; 2021: $1,061,800; 2020: $1,001,000; 2019: $990,300",,2050019.00,B3L,Peninsula North,Halifax
"6499 London St, Halifax",Primary market,1965,6,6,,,,,"2023: $735,400; 2022: $685,700; 2021: $616,500; 2020: $593,000; 2019: $552,800",,2050019.00,B3L,Peninsula North,Halifax
"65 Highfield Park Dr, Dartmouth",Primary market,1980,72,72,,,,,"2023: $7,778,100; 2022: $7,252,800; 2021: $6,800,600; 2020: $5,450,500; 2019: $5,343,500",,2050114.00,B3A,Dartmouth North,Halifax
"65 Pinecrest Dr, Dartmouth",Primary market,1968,10,10,,,,,"2023: $508,400; 2022: $518,700; 2021: $465,300; 2020: $518,000; 2019: $530,000","2019: $560,000 (1 parcel in sale)",2050114.00,B3A,Dartmouth North,Halifax
"65 Primrose St, Dartmouth",Primary market,1969,60,60,,,,,"2023: $3,937,100; 2022: $3,691,200; 2021: $3,668,100; 2020: $3,319,900; 2019: $3,271,500",,2050114.00,B3A,Dartmouth North,Halifax
"65 Wentworth St, Dartmouth",Primary market,,4,4,,,,,"2023: $530,300; 2022: $460,900; 2021: $418,700; 2020: $362,100; 2019: $356,400",,2050110.00,B2Y,Dartmouth North,Halifax
"650 Washmill Lake Dr, Halifax",Primary market,2017,80,80,,1,Renovation,2021,"2023: $19,240,000; 2022: $18,598,800; 2021: $18,842,900; 2020: $17,048,800; 2019: $16,985,000",,2050024.00,B3S,Mainland North,Halifax
"651 St Margarets Bay Rd, Halifax",Primary market,2016,6,6,,,,,"2023: $1,044,200; 2022: $964,500; 2021: $902,700; 2020: $568,900; 2019: $558,300",,2050017.00,B3N,Mainland North,Halifax
"6522 Chebucto Rd, Halifax",Primary market,1950,6,6,,,,,"2023: $684,100; 2022: $685,500; 2021: $585,800; 2020: $515,200; 2019: $505,500",,2050011.00,B3L,Peninsula North,Halifax
"6531 Chebucto Rd, Halifax",Primary market,1990,4,4,,,,,"2023: $713,900; 2022: $673,500; 2021: $613,000; 2020: $568,900; 2019: $558,300",,2050019.00,B3L,Peninsula North,Halifax
"6551 Bayers Rd, Halifax",Primary market,1960,18,18,,,,,"2023: $2,127,900; 2022: $2,002,100; 2021: $1,766,900; 2020: $1,703,100; 2019: $1,625,800",,2050023.00,B3L,Peninsula North,Halifax
"656 Bedford Hwy, Halifax",Primary market,2017,107,107,,,,,"2023: $29,311,600; 2022: $28,947,700; 2021: $28,783,100; 2020: $27,518,600; 2019: $26,939,400",,2050027.00,B3M,Mainland North,Halifax
"6569 Bayers Rd, Halifax",Primary market,1953,19,19,,,,,"2023: $2,089,900; 2022: $1,842,900; 2021: $1,730,500; 2020: $1,602,100; 2019: $1,589,100",,2050023.00,B3L,Peninsula North,Halifax
"66 Highfield Park Dr, Dartmouth",Primary market,1993,130,130,1,,,,"2023: $13,311,800; 2022: $13,074,000; 2021: $12,419,500; 2020: $9,981,500; 2019: $9,782,700",,2050114.00,B3A,Dartmouth North,Halifax
"66 Lakecrest Dr, Dartmouth",Primary market,2007,11,11,,,,,"2023: $841,500; 2022: $795,200; 2021: $896,300; 2020: $731,000; 2019: $719,800",,2050104.01,B2X (2007-2015); B2W (2016-2022),Dartmouth East,Halifax
"66 Mountain Rd, Halifax",Primary market,1992,44,44,,,,,"2023: $6,684,200; 2022: $4,191,800; 2021: $4,011,500; 2020: $3,825,300; 2019: $3,652,700",,2050015.00,B3N,Mainland South,Halifax
"66 Seawood Ave, Lower Sackville",Primary market,1971,6,6,,,,,"2023: $431,800; 2022: $418,500; 2021: $416,200; 2020: $443,300; 2019: $383,000",,2050131.03,B4C,Sackville,Halifax
"66 United Ave, Dartmouth",Primary market,1977,125,125,,,,,"2023: $13,473,900; 2022: $12,070,200; 2021: $10,919,800; 2020: $11,533,600; 2019: $10,622,500",,2050108.00,B3A,Dartmouth North,Halifax
"661 St Margarets Bay Rd, Halifax",Primary market,2016,6,6,,,,,"2023: $1,044,200; 2022: $964,500; 2021: $902,700; 2020: $568,900; 2019: $558,300",,2050017.00,B3N,Mainland North,Halifax
"6618 Quinpool Rd, Halifax",Primary market,1962,7,7,,,,,"2023: $1,037,800; 2022: $960,600; 2021: $913,400; 2020: $806,400; 2019: $489,300",,2050013.00,B3H,Peninsula South,Halifax
"6666 Quinpool Rd, Halifax",Primary market,1890,6,6,,,,,"2023: $1,471,100; 2022: $1,263,400; 2021: $1,311,300; 2020: $1,149,200; 2019: $1,107,100","2020: $1,305,000 (1 parcel in sale)",2050013.00,B3H,Peninsula South,Halifax
"668 Sackville Dr, Lower Sackville",Primary market,1977,7,7,,,,,"2023: $1,394,900; 2022: $1,427,600; 2021: $883,200; 2020: $891,500; 2019: $858,500",,2050131.03,B4C,Sackville,Halifax
"669 St Margarets Bay Rd, Halifax",Primary market,2012,6,6,,,,,"2023: $1,044,200; 2022: $964,500; 2021: $902,700; 2020: $568,900; 2019: $558,300",,2050017.00,B3N,Mainland North,Halifax
"67 Caledonia Rd, Dartmouth",Primary market,1976,12,12,,,,,"2023: $744,600; 2022: $714,800; 2021: $711,600; 2020: $620,000; 2019: $616,800","2021: $22,442,994 (8 parcels in sale); 2020: $0 (1 parcel in sale)",2050106.01,B2X,Dartmouth East,Halifax
"67 Harlington Crescent, Halifax",Primary market,1978,26,26,,,,,"2023: $2,896,400; 2022: $2,405,500; 2021: $1,990,500; 2020: $1,940,500; 2019: $1,917,700",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"67 Metropolitan Ave, Lower Sackville",Primary market,1985,36,36,,,,,"2023: $3,395,900; 2022: $3,155,500; 2021: $3,148,400; 2020: $2,845,300; 2019: $2,726,900",,2050131.05,B4C,Sackville,Halifax
"67 Stratford Way, Halifax",Primary market,1996,36,36,2,,,,"2023: $5,649,500; 2022: $4,834,100; 2021: $4,836,800; 2020: $4,694,900; 2019: $4,079,800",,2050026.01 (2006-2010); 2050026.05 (2011-2022),B3S,Mainland North,Halifax
"67 Tacoma Dr, Dartmouth",Primary market,2022,56,56,,1,Renovation,2022,"2023: $14,521,200; 2022: $6,342,900; 2021: $1,417,000; 2020: $840,000; 2019: $355,800",,2050104.01,B2W,Dartmouth East,Halifax
"670 Broad St, Bedford",Primary market,2020,76,76,,,,,"2023: $18,543,200; 2022: $17,304,100; 2021: $15,757,900; 2020: $9,210,000; 2019: $2,339,000","2022: $20,005,200 (1 parcel in sale)",2050132.06,B4B,Remainder of CMA,Halifax
"670 Portland Hills Dr, Dartmouth",Primary market,2022,79,79,,,,,"2023: $19,192,500; 2022: $14,314,400; 2021: $2,806,000; 2020: $1,539,000; 2019: $1,377,000",,2050104.04,B2W,Dartmouth East,Halifax
"671 Larry Uteck Blvd, Halifax",Primary market,2015,89,89,,,,,"2023: $23,334,300; 2022: $22,988,400; 2021: $22,343,100; 2020: $21,808,000; 2019: $21,808,000",,2050123.04 (2015-2020); 2050123.09 (2021-2022),B4A,Bedford,Halifax
"675 Broad St, Bedford",Primary market,2019,60,60,,,,,"2023: $15,303,300; 2022: $15,178,700; 2021: $13,883,300; 2020: $13,877,200; 2019: $3,000,000",,2050132.06,B4B,Remainder of CMA,Halifax
"677 St Margarets Bay Rd, Halifax",Primary market,2014,6,6,,,,,"2023: $1,044,200; 2022: $964,500; 2021: $902,700; 2020: $568,900; 2019: $558,300",,2050017.00,B3N,Mainland North,Halifax
"6779 Bayers Rd, Halifax",Primary market,1967,13,13,,,,,"2023: $1,877,700; 2022: $1,626,800; 2021: $1,591,100; 2020: $1,410,600; 2019: $1,426,500",,2050023.00,B3L,Peninsula North,Halifax
"68 Jackson Rd, Dartmouth",Primary market,1963,6,6,,,,,"2023: $474,100; 2022: $449,200; 2021: $403,400; 2020: $321,800; 2019: $329,000",,2050114.00,B3A,Dartmouth North,Halifax
"680 Parkland Dr, Halifax",Primary market,2001,70,70,,,,,"2023: $12,699,900; 2022: $11,219,400; 2021: $10,711,700; 2020: $10,247,100; 2019: $10,629,500",,2050026.01 (2006-2010); 2050026.03 (2011-2022),B3S,Mainland North,Halifax
"6846 Chebucto Rd, Halifax",Primary market,1976,4,4,,,,,"2023: $659,400; 2022: $600,600; 2021: $568,600; 2020: $543,500; 2019: $522,400",,2050013.00,B3L,Peninsula South,Halifax
"685 Old Sackville Rd, Lower Sackville",Primary market,1992,48,48,,,,,"2023: $4,512,200; 2022: $4,194,400; 2021: $4,184,800; 2020: $3,747,200; 2019: $3,610,600",,2050131.03,B4C,Sackville,Halifax
"685 St Margarets Bay Rd, Halifax",Primary market,2013,6,6,,1,Renovation,2021,"2023: $998,300; 2022: $964,500; 2021: $902,700; 2020: $568,900; 2019: $558,300",,2050017.00,B3N,Mainland North,Halifax
"69 Ardwell Ave, Halifax",Primary market,1969,6,6,1,,,,"2023: $415,700; 2022: $407,200; 2021: $366,100; 2020: $320,400; 2019: $319,700",,2050001.00,B3R,Mainland South,Halifax
"69 Farrell St, Dartmouth",Primary market,1975,14,14,,1,Renovation,2022,"2023: $828,700; 2022: $742,100; 2021: $741,100; 2020: $644,200; 2019: $675,600","2022: $1,950,000 (1 parcel in sale)",2050112.00,B3A,Dartmouth North,Halifax
"693 St Margarets Bay Rd, Halifax",Primary market,2012,4,4,,,,,"2023: $836,300; 2022: $769,600; 2021: $720,700; 2020: $702,400; 2019: $689,400",,2050017.00,B3N,Mainland North,Halifax
"6941 Tupper Grove, Halifax",Primary market,1870,10,10,,,,,"2023: $1,630,800; 2022: $1,437,600; 2021: $1,369,200; 2020: $1,272,900; 2019: $1,689,800",,2050013.00,B3H (2006-2015); B3L (2016-2022),Peninsula South,Halifax
"6957 Mumford Rd, Halifax",Primary market,1976,40,40,,,,,"2023: $5,998,100; 2022: $5,247,800; 2021: $4,716,200; 2020: $4,592,500; 2019: $4,428,300",,2050018.00,B3L,Peninsula North,Halifax
"6969 Bayers Rd, Halifax",Primary market,1978,162,162,1,,,,"2023: $19,159,800; 2022: $17,238,300; 2021: $16,241,300; 2020: $14,608,500; 2019: $14,542,500",,2050023.00,B3L,Peninsula North,Halifax
"6980 Leppert St, Halifax",Primary market,1989,4,4,,,,,"2023: $1,020,400; 2022: $910,300; 2021: $837,500; 2020: $823,100; 2019: $791,100",,2050018.00,B3L,Peninsula North,Halifax
"6A Dahlia St, Dartmouth",Primary market,1940,4,4,,,,,"2023: $419,500; 2022: $379,700; 2021: $351,800; 2020: $304,300; 2019: $299,500",,2050109.00,B2Y,Dartmouth North,Halifax
"7 Autumn Dr, Halifax",Primary market,1971,15,15,3,,,,"2023: $1,018,400; 2022: $1,009,100; 2021: $779,900; 2020: $684,700; 2019: $682,600","2020: $1,050,000 (1 parcel in sale)",2050002.00,B3R,Mainland South,Halifax
"7 Brunello Blvd, Timberlea",Primary market,2021,134,134,,,,,"2023: $37,995,800; 2022: $34,955,400; 2021: $25,754,000; 2020: $4,050,000; 2019: $3,275,000",,2050142.01,B3T,Remainder of CMA,Halifax
"7 Burke St, Dartmouth",Primary market,1962,4,4,,,,,"2023: $353,700; 2022: $329,900; 2021: $311,400; 2020: $271,800; 2019: $267,500",,2050114.00,B3A,Dartmouth North,Halifax
"7 Cherry Lane, Halifax",Primary market,1977,6,6,,,,,"2023: $403,200; 2022: $397,900; 2021: $331,200; 2020: $312,600; 2019: $316,000",,2050014.00,B3P,Mainland South,Halifax
"7 Crystal Dr, Dartmouth",Primary market,1970,40,40,,,,,"2023: $3,251,400; 2022: $2,746,000; 2021: $2,418,600; 2020: $2,284,800; 2019: $2,246,300",,2050114.00,B3A,Dartmouth North,Halifax
"7 Dahlia St, Dartmouth",Primary market,1940,5,5,,,,,"2023: $442,100; 2022: $412,400; 2021: $389,200; 2020: $339,700; 2019: $334,300",,2050109.00,B3A,Dartmouth North,Halifax
"7 Dawn St, Halifax",Primary market,1965,6,6,,1,Renovation,2021,"2023: $612,500; 2022: $561,100; 2021: $549,100; 2020: $539,600; 2019: $473,200",,2050025.01,B3M,Mainland North,Halifax
"7 Forbes St, Halifax",Primary market,1972,14,14,,,,,"2023: $897,100; 2022: $762,100; 2021: $671,500; 2020: $586,900; 2019: $583,400","2021: $1,500,000 (1 parcel in sale)",2050002.00,B3R,Mainland South,Halifax
"7 Franklyn St, Dartmouth",Primary market,1970,9,9,,,,,"2023: $638,600; 2022: $664,800; 2021: $597,300; 2020: $492,300; 2019: $443,900",,2050100.00,B2W,Dartmouth South,Halifax
"7 Galaxy Ave, Dartmouth",Primary market,1968,6,6,,,,,"2023: $349,500; 2022: $343,200; 2021: $320,700; 2020: $326,800; 2019: $309,000",,2050103.00,B2Y,Dartmouth South,Halifax
"7 Horizon Crt, Dartmouth",Primary market,1987,130,130,,,,,"2023: $23,689,700; 2022: $21,982,800; 2021: $21,731,400; 2020: $19,662,200; 2019: $19,249,600",,2050108.00,B3A,Dartmouth North,Halifax
"7 Jackson Rd, Dartmouth",Primary market,1964,45,45,,,,,"2023: $2,683,500; 2022: $2,693,600; 2021: $2,408,800; 2020: $1,997,300; 2019: $2,009,600",,2050114.00,B3A,Dartmouth North,Halifax
"7 Kennedy Dr, Dartmouth",Primary market,1970,34,34,,,,,"2023: $2,301,900; 2022: $1,786,900; 2021: $1,711,400; 2020: $1,711,300; 2019: $1,584,700","2021: $16,587,504 (8 parcels in sale); 2020: $0 (7 parcels in sale)",2050106.01,B2X,Dartmouth East,Halifax
"7 Lynnett Rd, Halifax",Primary market,1969,11,11,,,,,"2023: $570,100; 2022: $469,100; 2021: $436,100; 2020: $402,000; 2019: $385,900",,2050002.00,B3R,Mainland South,Halifax
